"lang"
{
	"Language"	"russian"
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_damage_Description"		            "<h1>Обычный фрагмент скипетра</h1>Увеличивает урон от Ice Path на %value%."
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_range_Description"		            "<h1>Обычный фрагмент скипетра</h1>Увеличивает длину Ice Path на %value%."
	"DOTA_Tooltip_Ability_item_jakiro_ice_path_lua_pct_cooldown_Description"            "<h1>Обычный фрагмент скипетра</h1>Уменьшает перезарядку Ice Path на %value%%."
	
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_slow_attack_speed_pct_Description"	    "<h1>Обычный фрагмент скипетра</h1>Увеличивает замедление скорости атаки врагов от Liquid Fire на %value%."
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_radius_Description"	                    "<h1>Обычный фрагмент скипетра</h1>Увеличивает радиус Liquid Fire на %value%."			
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_damage_Description"	                    "<h1>Обычный фрагмент скипетра</h1>Увеличивает урон в секунду от Liquid Fire на %value%."			
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_duration_Description"	                    "<h1>Обычный фрагмент скипетра</h1>Увеличивает длительность эффекта Liquid Fire на %value% сек."			
	"DOTA_Tooltip_Ability_item_jakiro_liquid_fire_lua_range_Description"		                "<h1>Обычный фрагмент скипетра</h1>Увеличивает дальность применения Liquid Fire на %value%."	
	
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_damage_Description"				    "<h1>Обычный фрагмент скипетра</h1>Увеличивает урон в секунду от Macropyre на %value%."			
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_cast_range_Description"			    "<h1>Обычный фрагмент скипетра</h1>Увеличивает дальность Macropyre на %value%."			
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_duration_Description"			    "<h1>Обычный фрагмент скипетра</h1>Увеличивает длительность Macropyre на %value% сек."			
	"DOTA_Tooltip_Ability_item_jakiro_macropyre_lua_pct_cooldown_Description"		    "<h1>Обычный фрагмент скипетра</h1>Уменьшает перезарядку Macropyre на %value%%."	
	
	
	//>---------------------------------------
	//>--- TALENT TREE -----------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_jakiro_dual_breath_lua+burn_damage"	            "+{s:burn_damage} к урону от Dual Breath"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_jakiro_dual_breath_lua+range"	                "+{s:range} к дальности струи Dual Breath"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_jakiro_liquid_fire_lua+slow_attack_speed_pct"	"+{s:slow_attack_speed_pct} к замедлению атаки от Liquid Fire"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_jakiro_ice_path_lua+duration"	                "+{s:duration} к длительности Ice Path"
	"DOTA_Tooltip_Ability_special_bonus_pathfinder_jakiro_macropyre_lua+cast_range"	                "+{s:cast_range} к длине Macropyre"
	
	
	//>---------------------------------------
	//>--- MODIFIER --------------------------
	//>---------------------------------------
	
	"DOTA_Tooltip_modifier_jakiro_dual_breath_lua_ice"                                  "Jakiro's Ice Breath"
	"DOTA_Tooltip_modifier_jakiro_dual_breath_lua_ice_Description"                      "Скорость передвижения и атаки уменьшена"
	
	"DOTA_Tooltip_modifier_jakiro_dual_breath_lua_fire"                                 "Jakiro's Fire Breath"
	"DOTA_Tooltip_modifier_jakiro_dual_breath_lua_fire_Description"                     "Получает периодический урон"
	
	"DOTA_Tooltip_modifier_jakiro_sepcial_ice_path_armour"                              "Vanilla Ice"
	"DOTA_Tooltip_modifier_jakiro_sepcial_ice_path_armour_Description"                  "Получаемый урон снижен, враги замораживаются при атаках"
	
	"DOTA_Tooltip_modifier_jakiro_ice_path_lua"                                         "Ice Path"
	"DOTA_Tooltip_modifier_jakiro_ice_path_lua_Description"                             "Baby It's Cold Outside"
	
	"DOTA_Tooltip_modifier_jakiro_liquid_fire_lua"                                      "Liquid Fire"
	"DOTA_Tooltip_modifier_jakiro_liquid_fire_lua_Description"                          "Огонь не жидкий по определению"
	
	"DOTA_Tooltip_modifier_jakiro_macropyre_lua"                                        "Macropyre"
	"DOTA_Tooltip_modifier_jakiro_macropyre_lua_Description"                            "Пол — это БУКВАЛЬНО лава"
	
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>-JAKIRO END-----------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
	//>----------------------------------------------------------------------------------------------------------------------------------------------
